CERS,SS,NEW,2,756,2.400000,2.340000,2.45000006/1406/191706149900003,09:30:CustSS
CERS,SS,NEW,100,2.36000018422.360000,2.37000006/1406/191706149900003,10:20:ContraSSFREX
CERS,SS,NEW,200,2.350000,2.360000,2.37000006/1406/191706149900003,10:20:ContraSSFREX
CERS,SS,NEW,100,2.350000,2.350000,2.36000006/1406/191706149900003,10:20:ContraSSFREX
CERS,SS,NEW,100,2.350000,2.350000,2.36000006/1406/191706149900003,10:22:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.36000085432.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,300,2.36000085432.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,200,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,300,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.350000,2.36000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.360000,2.37000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900003,10:24:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.360000,2.37000006/1406/191706149900003,10:25:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.360000,2.37000006/1406/191706149900003,10:27:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900003,10:27:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.360000,2.37000006/1406/191706149900003,10:27:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900003,10:27:ContraSSFREX
CERS,SS,NEW,100,2.36000085432.360000,2.37000006/1406/191706149900003,10:27:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900003,10:29:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900003,10:30:ContraSSFREX
CERS,SS,NEW,200,2.360000,2.360000,2.37000006/1406/191706149900004,10:33:ContraSSFREX
CERS,SS,NEW,200,2.360000,2.360000,2.37000006/1406/191706149900004,10:33:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:33:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:33:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:36:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:37:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:41:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:43:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:45:ContraSSFREX
CERS,SS,NEW,100,2.36000085432.360000,2.37000006/1406/191706149900004,10:45:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:45:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:46:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:47:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:47:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:49:ContraSSFREX
CERS,SS,NEW,100,2.365000,2.360000,2.37000006/1406/191706149900004,10:50:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:51:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:53:ContraSSFREX
CERS,SS,NEW,300,2.360000,2.360000,2.37000006/1406/191706149900004,10:55:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:55:ContraSSFREX
CERS,SS,NEW,100,2.360000,2.360000,2.37000006/1406/191706149900004,10:55:ContraSSFREX
